#########################################################
# Abundances in log N(H) = 12 recommended 
# for the Solar System 4.56Gyr ago in 
# Lodders (2010) in Principles and Perspectives 
# in Cosmochemistry, Astrophysics and Space Science 
# Proceedings, ISBN 978-3-642-10351-3. Springer-Verlag 
# Berlin Heidelberg, 2010, p. 379
#########################################################
# Z   El  log N   sigma
  1   H   12.000   0.00
  2   He  10.986   0.02
  3   Li  3.3300   0.05
  4   Be  1.3700   0.03
  5   B   2.8600   0.04
  6   C   8.4400   0.04
  7   N   7.9100   0.12
  8   O   8.7800   0.07
  9   F   4.4900   0.06
  10  Ne  8.1000   0.10
  11  Na  6.3500   0.04
  12  Mg  7.6000   0.06
  13  Al  6.5100   0.07
  14  Si  7.5900   0.08
  15  P   5.5100   0.05
  16  S   7.2100   0.02
  17  Cl  5.3000   0.06
  18  Ar  6.5500   0.10
  19  K   5.1600   0.04
  20  Ca  6.3700   0.02
  21  Sc  3.1200   0.02
  22  Ti  4.9800   0.03
  23  V   4.0400   0.03
  24  Cr  5.7000   0.02
  25  Mn  5.5500   0.01
  26  Fe  7.5100   0.08
  27  Co  4.9600   0.08
  28  Ni  6.2800   0.04
  29  Cu  4.3200   0.04
  30  Zn  4.7000   0.04
  31  Ga  3.1500   0.02
  32  Ge  3.6500   0.06
  33  As  2.3700   0.04
  34  Se  3.4200   0.03
  35  Br  2.6200   0.06
  36  Kr  3.3300   0.08
  37  Rb  2.4500   0.03
  38  Sr  2.9500   0.03
  39  Y   2.2500   0.04
  40  Zr  2.6200   0.04
  41  Nb  1.4800   0.07
  42  Mo  1.9900   0.06
  44  Ru  1.8400   0.03
  45  Rh  1.1500   0.13
  46  Pd  1.7200   0.04
  47  Ag  1.2800   0.02
  48  Cd  1.7800   0.03
  49  In  0.8400   0.03
  50  Sn  2.1400   0.06
  51  Sb  1.0800   0.06
  52  Te  2.2600   0.03
  53  I   1.6300   0.08
  54  Xe  2.3200   0.08
  55  Cs  1.1600   0.02
  56  Ba  2.2400   0.07
  57  La  1.2500   0.02
  58  Ce  1.6600   0.06
  59  Pr  0.8200   0.05
  60  Nd  1.5200   0.02
  62  Sm  1,0100   0.02
  63  Eu  0.5800   0.04
  64  Gd  1.1400   0.06
  65  Tb  0.3900   0.03
  66  Dy  1.1900   0.06
  67  Ho  0.5500   0.03
  68  Er  1.0000   0.06
  69  Tm  0.1900   0.03
  70  Yb  0.9900   0.02
  71  Lu  0.1700   0.02
  72  Hf  0.7800   0.02 
  73  Ta  -0.090   0.04
  74  W   0.7200   0.04
  75  Re  0.3500   0.04
  76  Os  1.4200   0.03
  77  Ir  1.4100   0.06
  78  Pt  1.6900   0.03
  79  Au  0.8800   0.04
  80  Hg  1.2500   0.08
  81  Tl  0.8500   0.03
  82  Pb  2.1100   0.03
  83  Bi  0.7300   0.04
  90  Th  0.2300   0.03
  92  U   -0.040   0.03
